,name,genre,author,status,alt_title,views,score,nb_votes
115,Gareki!: After School of Modeler Girls,Schoollife-Shounen-Sliceoflife,"
ヨゲンメ ",Ongoing,ガレキ！－造形乙女の放課後－ ; Gareki! Modeller Girls no Houkago,38.5K,3.93,15
116,My Roommate Isn't From This World (Serialized Version),Comedy-Horror-Romance-Seinen-Supernatural,"
Nakamura Enjitsu ",Ongoing,同居人がこの世のモンじゃない 連載版 ; Doukyonin ga Konoyo no Mon janai Rensai-ban,29.2K,4.34,32
117,Maou to Ore no Hangyakuki,Action-Adventure-Drama-Fantasy-Harem-Shounen,"
Yoshikawa Hideaki ",Ongoing,The Dark Queen and I Strike Back ; Королева Демонов и я наносим ответный удар ; 魔王と俺の叛逆記,8.7M,3.36,507
118,Mushishi Gaitanshuu,Fantasy-Mystery-Seinen-Sliceoflife-Supernatural,"
Ashinano Hitoshi - Imai Tetsuya - Yoshida Motoi - Toyoda Tetsuya - Kumakura Takatoshi ",Ongoing,Shimmering of the Sea ; 蟲師 外譚集 ; Hizumu Shirabe ; Tagiru Yu ; Umi no Chirachira ; Kumiki no Hora ; Kage Fumi ; 歪む調べ ; 滾る湯 ; 海のちらちら ; 組木の洞 ; 影踏み,8.7K,4.8,5
119,Ichigo no Haitta Soda-sui,Comedy-Schoollife-Shoujoai-Sliceoflife,"
Arai Cherry ",Ongoing,Strawberry in Soda Water ; Strawberry soda water ; Ichigo no Haitta Soda Mizu,186.9K,3,96
120,Only I Know That the World Will End,Action-Fantasy-Horror-Mystery-Shounen-Isekai,"
Haijima Shigeru - Tsubasa ",Ongoing,"Kono Sekai ga Izure Horobu Koto wo, Ore dake ga Shitte Iru ; Kono Sekai ga Izure Horobu Koto o, Ore dake ga Shitte Iru ; Kono Sekai ga Izure Horobu Koto o, Ore dake ga Shitte Iru - Monster ga Arawareta Sekai de, Shi ni Modori Level Up ; この世界がいずれ滅ぶことを、俺だけが知っている ; この世界がいずれ滅ぶことを、俺だけが知っている～モンスターが現れた世界で、死に戻りレベルアップ～",1.9M,4.74,1199
121,I Work Nine To Five In The Immortal Cultivation World,Action-Fantasy-Historical-Martialarts-Shounen-Manhua,"
欢欢 - 闻源文化 ",Ongoing,Wo Zai Xiuxian Shijie Chao Jiu Wan Wu ; I Live From Nine to Five in the World of Cultivating Immortals ; I Work Nine to Five in the Immortal Cultivation World ; Wǒ Zài Xiūxiān Shìjiè Cháo Jiǔ Wǎn Wǔ ; 我在修仙世界朝九晚五,2.2M,4.72,482
122,Is It Odd That I Became An Adventurer Even If I Graduated The Witchcraft Institute?,Action-Adventure-Comedy-Drama-Fantasy-Seinen-Supernatural,"
Ikapon - Sayaka Arima ",Ongoing,"Majutsugakuin wo Shuseki de Sotsugyou Shita Ore ga Boukensha wo Hajimeru no wa Sonna ni Okashii Darouka,Majutsu Gakuin wo Shuseki de Sotsugyoushita Ore ga Boukensha wo Hajimeru no wa sonnna ni okashii darouka,魔術学院を首席で卒業した俺が冒険者を始めるのはそんなにおかしいだろうか",16.2M,4.7,1997
123,Yeon Woo's Innocence,Comedy-Romance-Schoollife-Shoujo-Sliceoflife,"
Esol ",Ongoing,연우의 순정 ; Yeonwoo Sunjeong ; Yeonwoo's Innocence ; 延禹的纯情 ; รักใสๆ ของยอนอู,8.2M,4.59,1001
124,Yeon Woo's Innocence,Comedy-Romance-Schoollife-Shoujo-Sliceoflife,"
Esol ",Ongoing,연우의 순정 ; Yeonwoo Sunjeong ; Yeonwoo's Innocence ; 延禹的纯情 ; รักใสๆ ของยอนอู,8.2M,4.59,1001
125,The Self-Disciplined Me Is Practically Invincible,Drama-Shounen,"
多格文化 ",Ongoing,自律的我简直无敌了 ; Zilv De Wo Jianzhi Wudile ; Zìlǜ De Wǒ Jiǎnzhí Wúdíle,182.9K,4.31,81
126,The Duke's 99th Bride,Drama-Fantasy-Romance,"
Choi Nokki - Geumbi ",Ongoing,Dük’ün 99.Gelini ; La 99sima sposa del duca ; Pengantin Ke-99 Duke ; The 99th Bride of the Duke ; 公爵家の99番目の花嫁 ; 公爵家的第99位新娘 ; 공작가의 99번째 신부,2.5M,4.36,59
127,The Duke's 99th Bride,Drama-Fantasy-Romance,"
Choi Nokki - Geumbi ",Ongoing,Dük’ün 99.Gelini ; La 99sima sposa del duca ; Pengantin Ke-99 Duke ; The 99th Bride of the Duke ; 公爵家の99番目の花嫁 ; 公爵家的第99位新娘 ; 공작가의 99번째 신부,2.5M,4.36,59
128,Hundred Ghost Stories of My Own Death,Horror-Mystery-Psychological-Shounen-Supernatural-Tragedy,"
Matono Anji ",Ongoing,僕が死ぬだけの百物語 ; Boku ga Shinu dake no Hyakumonogatari ; The Hundred Ghost Stories That Led to My Death,5M,4.74,438
129,Level 596 no Tanya Minarai,Action-Fantasy,"
Terao Yuuki ",Ongoing,レベル596の鍛冶見習い ; Level 596 no Tanya Minarai ; The Level 596 Apprentice Blacksmith ; The Apprentice Blacksmith of Level 596,445.5K,4.73,88
130,Kitchen soldier,Action-Adventure-Cooking-Drama-Shounen-Supernatural,"
Jrobin (제이로빈) ",Ongoing,"Kitchen Soldier , 취사병 전설이 되다 , Becoming a legend kitchen soldier , 菜鳥伙房兵 , บันทึกครัวค่ายทหาร , Становление легендарным поваром , Army Chef , Army Cook",5.3M,4.7,521
131,VR HERO,Action-Martialarts-Manhwa,"
Baek Minki ",Ongoing,VR히어로,1.2M,4.53,174
132,L.A.G,Action-Drama-Fantasy-Horror-Mystery-Psychological-Manhwa,"
Hyun Ahm (암현) - Apiro (아피로) ",Ongoing,Unlimited Passive ; 언리미티드 패시브 ; LAG ; Безграничные пассивные навыки ; Habilidades Passivas Ilimitadas,13.4M,4.79,2277
133,Cell,Action-Drama-Schoollife-Supernatural-Tragedy,"
Kang Hyung-Gyu ",Ongoing,CELL,2M,4.34,311
134,King of Martial Arts,Action-Adventure-Fantasy-Supernatural-Manhua,"
Xiaomingtaiji ",Ongoing,"The God Warrior King, 仙武帝尊",13.1M,4.06,454
135,"Calm Down, Revenge Queen",Fantasy-Josei-Romance,"
是荔之啊 - 杜了了 ",Ongoing,"Kuai Chuan Nv Pei Leng Jing Dian, Quick Transmigration: Revenge Queen, Revenge Queen, Xuyên Nhanh Nữ Phụ Bình Tĩnh Chút, 快穿女配冷静点, 脇役だって黙っていられない！, 퀸의 반란,",83.4K,4.16,19
136,Supremacy of The Demon World II,Action-Adventure-Fantasy-Harem-Historical-Martialarts-Manhua,"
Le You Yinghua ",Ongoing,Demonica Supreme: Return of the Demon King ; Demon Road Supreme ; Supremacy of The Demon World II ; Supreme Demon Return ; Supreme Demon Returns ; 妖道至尊之妖皇归来 ; 妖道至尊之妖皇歸來,2.4M,4.04,140
137,Eiyuu to Kenja no Tensei Kon,Action-Adventure-Comedy-Fantasy-Romance-Schoollife,"
Fujiki Washiro ",Ongoing,"英雄と賢者の転生婚 ; 英雄と賢者の転生婚 ~かつての好敵手と婚約して最強夫婦になりました~ ; Reincarnated • The Hero Marries the Sage ~After Becoming Engaged to a Former Rival, We Became the Strongest Couple~",1.4M,4.81,984
138,Naze Boku no Sekai wo Daremo Oboeteinai no ka?,Action-Adventure-Drama-Fantasy-Romance-Seinen-Tragedy-Isekai,"
Sazane Kei - Neco ",Ongoing,"Neden Kimse Benim Dünyamı Hatırlamıyor? ; Phy Sew lu, ele tis Es feo r-delis ec I. ; Why Doesn't Anybody Remember My World? ; Почему все забыли мой мир? ; なぜ僕の世界を誰も覚えていないのか？",16.1M,4.63,2528
139,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",Action-Comedy-Fantasy-Harem-Shounen,"
Katou Myoujin - Kobota Misuho ",Ongoing,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru ; The Greatest Maou Is Reborned To Get Friends ; 史上最強の大魔王、村人Aに転生する",33.8M,"rate :
4.62/
5",5
140,Shutline,Drama-Mature-Romance-Webtoons-Yaoi,"
Kyou. - Kyo Woo ",Ongoing,셔트라인,5.5M,4.46,528
141,Heartrate Presto,Romance-Webtoons-Yaoi,"
Beetle - Salmon ",Ongoing,하트레이트 프레스토;,31K,4.07,43
142,The Way That Knight Lives As a Lady,Drama-Fantasy-Romance,"
Sung Hyerim ",Ongoing,그 기사가 레이디로 사는 법,21.8M,4.7,3472
143,Beipo Chengwei Fanpai Zhuixu,Action-Adventure-Comedy-Fantasy-Harem-Romance-Shounen,"
Yoousi ",Ongoing,Bèipò Chéngwéi Fǎnpài Zhuìxù ; Forced to Become the Villain's Son-In-Law ; I Become a Villain in My Novel ; ¡Me forzaron a convertirme en el villano de mi novela! ; 小説の結末を変えないと俺は死ぬ ; 被迫成为反派赘婿 ; 내 소설의 악역이 되다,10.3M,3.67,769
144,Tamed A Blackened Slave Man,Drama-Fantasy-Josei-Romance,"
Purple Village ",Ongoing,Taming a Corrupted Slave Man / 흑화한 노예남을 길들였다,1.1M,4.39,94
145,Prince’s Pampered Wife,Drama-Fantasy-Historical-Romance-Shoujo,"
Ake Comic - 阿柯文化 ",Ongoing,My Anti-Venom Wife ; Mad Concubine Provoking and Offending People: The Prince Unbridledly Spoils ; Prince's Pampered Wife ; Rě Huǒ Kuáng Fēi: Wángyé Fàngsì Chǒng ; Wild Concubine Stirring up the Fire: The Prince Wantonly Pampers ; 惹火狂妃：王爷放肆宠 ; 惹火狂妃：王爺放肆寵,1.4M,3.24,72
146,The East Wind of the Altas,Drama-Fantasy-Historical-Romance,"
Ziseo - Tappytoon Studio ",Ongoing,알타스의 동풍-후작 부인 스캔들,2.6M,4.28,147
147,"Author, In This Life I’m The Protagonist",Drama-Fantasy-Romance-Shoujo-Webtoons-Manhwa,"
Moon Squirrel - San (Ii) - Lee Rita ",Ongoing,"Author, I’m the heroine of this life ; 弃坑作者被迫当女主 ; 작가님, 이번 생은 여주인공입니다",946K,4.35,31
148,Lend Me Your Lips,Comedy-Drama-Romance,"
Updating ",Ongoing,입술 좀 빌려주세요,38.7K,3.71,7
149,Lend Me Your Lips,Comedy-Drama-Romance,"
Updating ",Ongoing,입술 좀 빌려주세요,38.7K,3.71,7
